"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1845","getUserById_invalidId","Gradle suite","2026-01-05","passed","2026-01-05","tests.UserApiTest","Gradle test","tests.UserApiTest","getUserById_invalidId"
"","381","getUsers_invalidPage","Gradle suite","2026-01-05","passed","2026-01-05","tests.UserApiTest","Gradle test","tests.UserApiTest","getUsers_invalidPage"
"","1051","getUsers_boundaryPageZero","Gradle suite","2026-01-05","passed","2026-01-05","tests.UserApiTest","Gradle test","tests.UserApiTest","getUsers_boundaryPageZero"
"","404","getUsers_validPage","Gradle suite","2026-01-05","passed","2026-01-05","tests.UserApiTest","Gradle test","tests.UserApiTest","getUsers_validPage"
