"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","985","getUsers_boundaryPageZero","Gradle suite","2026-01-07","passed","2026-01-07","tests.UserApiTest","Gradle test","tests.UserApiTest","getUsers_boundaryPageZero"
"","1709","getUserById_invalidId","Gradle suite","2026-01-07","passed","2026-01-07","tests.UserApiTest","Gradle test","tests.UserApiTest","getUserById_invalidId"
"","243","getUsers_invalidPage","Gradle suite","2026-01-07","passed","2026-01-07","tests.UserApiTest","Gradle test","tests.UserApiTest","getUsers_invalidPage"
"","271","getUsers_validPage","Gradle suite","2026-01-07","passed","2026-01-07","tests.UserApiTest","Gradle test","tests.UserApiTest","getUsers_validPage"
